{'epoch': 68, 'rec_avg_loss': '0.1842'}
{'epoch': 69, 'rec_avg_loss': '0.1811'}
{'epoch': 70, 'rec_avg_loss': '0.1828'}
{'epoch': 71, 'rec_avg_loss': '0.1806'}
{'epoch': 72, 'rec_avg_loss': '0.1792'}
{'epoch': 73, 'rec_avg_loss': '0.1810'}
{'epoch': 74, 'rec_avg_loss': '0.1821'}
{'epoch': 75, 'rec_avg_loss': '0.1794'}
{'epoch': 76, 'rec_avg_loss': '0.1781'}
{'epoch': 77, 'rec_avg_loss': '0.1789'}
{'epoch': 78, 'rec_avg_loss': '0.1793'}
{'epoch': 79, 'rec_avg_loss': '0.1793'}
{'epoch': 80, 'rec_avg_loss': '0.1785'}
{'epoch': 81, 'rec_avg_loss': '0.1778'}
{'epoch': 82, 'rec_avg_loss': '0.1787'}
{'epoch': 83, 'rec_avg_loss': '0.1771'}
{'epoch': 84, 'rec_avg_loss': '0.1745'}
{'epoch': 85, 'rec_avg_loss': '0.1773'}
{'epoch': 86, 'rec_avg_loss': '0.1783'}
{'epoch': 87, 'rec_avg_loss': '0.1778'}
{'epoch': 88, 'rec_avg_loss': '0.1742'}
{'epoch': 89, 'rec_avg_loss': '0.1759'}
{'epoch': 90, 'rec_avg_loss': '0.1795'}
{'epoch': 91, 'rec_avg_loss': '0.1764'}
{'epoch': 92, 'rec_avg_loss': '0.1766'}
{'epoch': 93, 'rec_avg_loss': '0.1750'}
{'epoch': 94, 'rec_avg_loss': '0.1751'}
{'epoch': 95, 'rec_avg_loss': '0.1764'}
{'epoch': 96, 'rec_avg_loss': '0.1762'}
{'epoch': 97, 'rec_avg_loss': '0.1752'}
{'epoch': 98, 'rec_avg_loss': '0.1741'}
{'epoch': 99, 'rec_avg_loss': '0.1756'}
{'epoch': 100, 'rec_avg_loss': '0.1744'}
{'epoch': 101, 'rec_avg_loss': '0.1743'}
{'Epoch': 101, 'HIT@5': '0.0318', 'NDCG@5': '0.0215', 'HIT@10': '0.0487', 'NDCG@10': '0.0269', 'HIT@20': '0.0748', 'NDCG@20': '0.0335'}
{'epoch': 102, 'rec_avg_loss': '0.1746'}
{'Epoch': 102, 'HIT@5': '0.0317', 'NDCG@5': '0.0212', 'HIT@10': '0.0471', 'NDCG@10': '0.0262', 'HIT@20': '0.0739', 'NDCG@20': '0.0329'}
{'epoch': 103, 'rec_avg_loss': '0.1755'}
{'Epoch': 103, 'HIT@5': '0.0314', 'NDCG@5': '0.0210', 'HIT@10': '0.0485', 'NDCG@10': '0.0265', 'HIT@20': '0.0733', 'NDCG@20': '0.0327'}
{'epoch': 104, 'rec_avg_loss': '0.1751'}
{'Epoch': 104, 'HIT@5': '0.0314', 'NDCG@5': '0.0211', 'HIT@10': '0.0489', 'NDCG@10': '0.0268', 'HIT@20': '0.0733', 'NDCG@20': '0.0329'}
{'epoch': 105, 'rec_avg_loss': '0.1754'}
{'Epoch': 105, 'HIT@5': '0.0316', 'NDCG@5': '0.0214', 'HIT@10': '0.0488', 'NDCG@10': '0.0269', 'HIT@20': '0.0731', 'NDCG@20': '0.0330'}
{'epoch': 106, 'rec_avg_loss': '0.1721'}
{'Epoch': 106, 'HIT@5': '0.0313', 'NDCG@5': '0.0214', 'HIT@10': '0.0486', 'NDCG@10': '0.0269', 'HIT@20': '0.0735', 'NDCG@20': '0.0331'}
{'epoch': 107, 'rec_avg_loss': '0.1726'}
{'Epoch': 107, 'HIT@5': '0.0326', 'NDCG@5': '0.0219', 'HIT@10': '0.0485', 'NDCG@10': '0.0270', 'HIT@20': '0.0754', 'NDCG@20': '0.0338'}
{'epoch': 108, 'rec_avg_loss': '0.1747'}
{'Epoch': 108, 'HIT@5': '0.0315', 'NDCG@5': '0.0212', 'HIT@10': '0.0490', 'NDCG@10': '0.0268', 'HIT@20': '0.0745', 'NDCG@20': '0.0332'}
{'epoch': 109, 'rec_avg_loss': '0.1727'}
{'Epoch': 109, 'HIT@5': '0.0325', 'NDCG@5': '0.0218', 'HIT@10': '0.0479', 'NDCG@10': '0.0268', 'HIT@20': '0.0733', 'NDCG@20': '0.0332'}
{'epoch': 110, 'rec_avg_loss': '0.1744'}
{'Epoch': 110, 'HIT@5': '0.0319', 'NDCG@5': '0.0216', 'HIT@10': '0.0489', 'NDCG@10': '0.0271', 'HIT@20': '0.0741', 'NDCG@20': '0.0334'}
{'epoch': 111, 'rec_avg_loss': '0.1739'}
{'Epoch': 111, 'HIT@5': '0.0319', 'NDCG@5': '0.0218', 'HIT@10': '0.0499', 'NDCG@10': '0.0275', 'HIT@20': '0.0747', 'NDCG@20': '0.0338'}
{'epoch': 112, 'rec_avg_loss': '0.1752'}
{'Epoch': 112, 'HIT@5': '0.0319', 'NDCG@5': '0.0216', 'HIT@10': '0.0490', 'NDCG@10': '0.0271', 'HIT@20': '0.0739', 'NDCG@20': '0.0333'}
{'epoch': 113, 'rec_avg_loss': '0.1716'}
{'Epoch': 113, 'HIT@5': '0.0320', 'NDCG@5': '0.0216', 'HIT@10': '0.0491', 'NDCG@10': '0.0271', 'HIT@20': '0.0755', 'NDCG@20': '0.0338'}
{'epoch': 114, 'rec_avg_loss': '0.1720'}
{'Epoch': 114, 'HIT@5': '0.0321', 'NDCG@5': '0.0215', 'HIT@10': '0.0490', 'NDCG@10': '0.0269', 'HIT@20': '0.0750', 'NDCG@20': '0.0334'}
{'epoch': 115, 'rec_avg_loss': '0.1742'}
{'Epoch': 115, 'HIT@5': '0.0321', 'NDCG@5': '0.0215', 'HIT@10': '0.0487', 'NDCG@10': '0.0268', 'HIT@20': '0.0738', 'NDCG@20': '0.0332'}
{'epoch': 116, 'rec_avg_loss': '0.1670'}
{'Epoch': 116, 'HIT@5': '0.0324', 'NDCG@5': '0.0217', 'HIT@10': '0.0494', 'NDCG@10': '0.0272', 'HIT@20': '0.0739', 'NDCG@20': '0.0333'}
{'epoch': 117, 'rec_avg_loss': '0.1737'}
{'Epoch': 117, 'HIT@5': '0.0321', 'NDCG@5': '0.0218', 'HIT@10': '0.0489', 'NDCG@10': '0.0273', 'HIT@20': '0.0735', 'NDCG@20': '0.0334'}
{'epoch': 118, 'rec_avg_loss': '0.1727'}
{'Epoch': 118, 'HIT@5': '0.0321', 'NDCG@5': '0.0216', 'HIT@10': '0.0489', 'NDCG@10': '0.0270', 'HIT@20': '0.0724', 'NDCG@20': '0.0329'}
{'epoch': 119, 'rec_avg_loss': '0.1725'}
{'Epoch': 119, 'HIT@5': '0.0325', 'NDCG@5': '0.0220', 'HIT@10': '0.0489', 'NDCG@10': '0.0273', 'HIT@20': '0.0733', 'NDCG@20': '0.0334'}
{'epoch': 120, 'rec_avg_loss': '0.1741'}
{'Epoch': 120, 'HIT@5': '0.0319', 'NDCG@5': '0.0216', 'HIT@10': '0.0485', 'NDCG@10': '0.0270', 'HIT@20': '0.0728', 'NDCG@20': '0.0331'}
{'epoch': 121, 'rec_avg_loss': '0.1721'}
{'Epoch': 121, 'HIT@5': '0.0317', 'NDCG@5': '0.0217', 'HIT@10': '0.0485', 'NDCG@10': '0.0271', 'HIT@20': '0.0733', 'NDCG@20': '0.0333'}
{'epoch': 122, 'rec_avg_loss': '0.1679'}
{'Epoch': 122, 'HIT@5': '0.0323', 'NDCG@5': '0.0219', 'HIT@10': '0.0500', 'NDCG@10': '0.0276', 'HIT@20': '0.0745', 'NDCG@20': '0.0337'}
{'epoch': 123, 'rec_avg_loss': '0.1706'}
{'Epoch': 123, 'HIT@5': '0.0325', 'NDCG@5': '0.0219', 'HIT@10': '0.0499', 'NDCG@10': '0.0275', 'HIT@20': '0.0741', 'NDCG@20': '0.0335'}
{'epoch': 124, 'rec_avg_loss': '0.1710'}
{'Epoch': 124, 'HIT@5': '0.0321', 'NDCG@5': '0.0216', 'HIT@10': '0.0498', 'NDCG@10': '0.0273', 'HIT@20': '0.0749', 'NDCG@20': '0.0336'}
{'epoch': 125, 'rec_avg_loss': '0.1703'}
{'Epoch': 125, 'HIT@5': '0.0318', 'NDCG@5': '0.0215', 'HIT@10': '0.0496', 'NDCG@10': '0.0272', 'HIT@20': '0.0737', 'NDCG@20': '0.0333'}
{'epoch': 126, 'rec_avg_loss': '0.1685'}
{'Epoch': 126, 'HIT@5': '0.0326', 'NDCG@5': '0.0220', 'HIT@10': '0.0514', 'NDCG@10': '0.0280', 'HIT@20': '0.0760', 'NDCG@20': '0.0342'}
{'epoch': 127, 'rec_avg_loss': '0.1707'}
{'Epoch': 127, 'HIT@5': '0.0323', 'NDCG@5': '0.0219', 'HIT@10': '0.0492', 'NDCG@10': '0.0273', 'HIT@20': '0.0734', 'NDCG@20': '0.0334'}
{'epoch': 128, 'rec_avg_loss': '0.1720'}
{'Epoch': 128, 'HIT@5': '0.0326', 'NDCG@5': '0.0220', 'HIT@10': '0.0500', 'NDCG@10': '0.0276', 'HIT@20': '0.0749', 'NDCG@20': '0.0338'}
{'epoch': 129, 'rec_avg_loss': '0.1691'}
{'Epoch': 129, 'HIT@5': '0.0316', 'NDCG@5': '0.0214', 'HIT@10': '0.0496', 'NDCG@10': '0.0272', 'HIT@20': '0.0750', 'NDCG@20': '0.0336'}
{'epoch': 130, 'rec_avg_loss': '0.1686'}
{'Epoch': 130, 'HIT@5': '0.0322', 'NDCG@5': '0.0218', 'HIT@10': '0.0490', 'NDCG@10': '0.0271', 'HIT@20': '0.0740', 'NDCG@20': '0.0334'}
{'epoch': 131, 'rec_avg_loss': '0.1710'}
{'Epoch': 131, 'HIT@5': '0.0315', 'NDCG@5': '0.0214', 'HIT@10': '0.0497', 'NDCG@10': '0.0272', 'HIT@20': '0.0763', 'NDCG@20': '0.0339'}
{'epoch': 132, 'rec_avg_loss': '0.1703'}
{'Epoch': 132, 'HIT@5': '0.0325', 'NDCG@5': '0.0219', 'HIT@10': '0.0501', 'NDCG@10': '0.0276', 'HIT@20': '0.0752', 'NDCG@20': '0.0339'}
{'epoch': 133, 'rec_avg_loss': '0.1709'}
{'Epoch': 133, 'HIT@5': '0.0333', 'NDCG@5': '0.0224', 'HIT@10': '0.0505', 'NDCG@10': '0.0279', 'HIT@20': '0.0762', 'NDCG@20': '0.0344'}
{'epoch': 134, 'rec_avg_loss': '0.1695'}
{'Epoch': 134, 'HIT@5': '0.0331', 'NDCG@5': '0.0224', 'HIT@10': '0.0509', 'NDCG@10': '0.0281', 'HIT@20': '0.0759', 'NDCG@20': '0.0344'}
{'epoch': 135, 'rec_avg_loss': '0.1710'}
{'Epoch': 135, 'HIT@5': '0.0331', 'NDCG@5': '0.0225', 'HIT@10': '0.0514', 'NDCG@10': '0.0284', 'HIT@20': '0.0764', 'NDCG@20': '0.0347'}
{'epoch': 136, 'rec_avg_loss': '0.1700'}
{'Epoch': 136, 'HIT@5': '0.0322', 'NDCG@5': '0.0223', 'HIT@10': '0.0499', 'NDCG@10': '0.0280', 'HIT@20': '0.0757', 'NDCG@20': '0.0345'}
{'epoch': 137, 'rec_avg_loss': '0.1700'}
{'Epoch': 137, 'HIT@5': '0.0326', 'NDCG@5': '0.0224', 'HIT@10': '0.0498', 'NDCG@10': '0.0280', 'HIT@20': '0.0757', 'NDCG@20': '0.0344'}
{'epoch': 138, 'rec_avg_loss': '0.1725'}
{'Epoch': 138, 'HIT@5': '0.0333', 'NDCG@5': '0.0227', 'HIT@10': '0.0508', 'NDCG@10': '0.0283', 'HIT@20': '0.0762', 'NDCG@20': '0.0347'}
{'epoch': 139, 'rec_avg_loss': '0.1713'}
{'Epoch': 139, 'HIT@5': '0.0330', 'NDCG@5': '0.0221', 'HIT@10': '0.0506', 'NDCG@10': '0.0277', 'HIT@20': '0.0768', 'NDCG@20': '0.0343'}
{'epoch': 140, 'rec_avg_loss': '0.1701'}
{'Epoch': 140, 'HIT@5': '0.0336', 'NDCG@5': '0.0224', 'HIT@10': '0.0508', 'NDCG@10': '0.0280', 'HIT@20': '0.0769', 'NDCG@20': '0.0345'}
{'epoch': 141, 'rec_avg_loss': '0.1716'}
{'Epoch': 141, 'HIT@5': '0.0329', 'NDCG@5': '0.0220', 'HIT@10': '0.0497', 'NDCG@10': '0.0273', 'HIT@20': '0.0745', 'NDCG@20': '0.0336'}
{'epoch': 142, 'rec_avg_loss': '0.1667'}
{'Epoch': 142, 'HIT@5': '0.0332', 'NDCG@5': '0.0223', 'HIT@10': '0.0519', 'NDCG@10': '0.0283', 'HIT@20': '0.0766', 'NDCG@20': '0.0345'}
{'epoch': 143, 'rec_avg_loss': '0.1687'}
{'Epoch': 143, 'HIT@5': '0.0340', 'NDCG@5': '0.0227', 'HIT@10': '0.0514', 'NDCG@10': '0.0282', 'HIT@20': '0.0767', 'NDCG@20': '0.0346'}
{'epoch': 144, 'rec_avg_loss': '0.1724'}
{'Epoch': 144, 'HIT@5': '0.0330', 'NDCG@5': '0.0218', 'HIT@10': '0.0517', 'NDCG@10': '0.0278', 'HIT@20': '0.0764', 'NDCG@20': '0.0340'}
{'epoch': 145, 'rec_avg_loss': '0.1706'}
{'Epoch': 145, 'HIT@5': '0.0322', 'NDCG@5': '0.0216', 'HIT@10': '0.0503', 'NDCG@10': '0.0275', 'HIT@20': '0.0754', 'NDCG@20': '0.0337'}
{'epoch': 146, 'rec_avg_loss': '0.1683'}
{'Epoch': 146, 'HIT@5': '0.0339', 'NDCG@5': '0.0227', 'HIT@10': '0.0512', 'NDCG@10': '0.0283', 'HIT@20': '0.0755', 'NDCG@20': '0.0344'}
{'epoch': 147, 'rec_avg_loss': '0.1695'}
{'Epoch': 147, 'HIT@5': '0.0346', 'NDCG@5': '0.0232', 'HIT@10': '0.0527', 'NDCG@10': '0.0290', 'HIT@20': '0.0777', 'NDCG@20': '0.0353'}
{'epoch': 148, 'rec_avg_loss': '0.1707'}
{'Epoch': 148, 'HIT@5': '0.0335', 'NDCG@5': '0.0228', 'HIT@10': '0.0517', 'NDCG@10': '0.0287', 'HIT@20': '0.0760', 'NDCG@20': '0.0348'}
{'epoch': 149, 'rec_avg_loss': '0.1684'}
{'Epoch': 149, 'HIT@5': '0.0338', 'NDCG@5': '0.0229', 'HIT@10': '0.0518', 'NDCG@10': '0.0286', 'HIT@20': '0.0755', 'NDCG@20': '0.0346'}
{'epoch': 150, 'rec_avg_loss': '0.1687'}
{'Epoch': 150, 'HIT@5': '0.0341', 'NDCG@5': '0.0230', 'HIT@10': '0.0513', 'NDCG@10': '0.0285', 'HIT@20': '0.0761', 'NDCG@20': '0.0347'}
{'epoch': 151, 'rec_avg_loss': '0.1689'}
{'Epoch': 151, 'HIT@5': '0.0334', 'NDCG@5': '0.0225', 'HIT@10': '0.0512', 'NDCG@10': '0.0282', 'HIT@20': '0.0755', 'NDCG@20': '0.0343'}
{'epoch': 152, 'rec_avg_loss': '0.1680'}
{'Epoch': 152, 'HIT@5': '0.0335', 'NDCG@5': '0.0224', 'HIT@10': '0.0512', 'NDCG@10': '0.0281', 'HIT@20': '0.0759', 'NDCG@20': '0.0343'}
{'epoch': 153, 'rec_avg_loss': '0.1682'}
{'Epoch': 153, 'HIT@5': '0.0333', 'NDCG@5': '0.0223', 'HIT@10': '0.0509', 'NDCG@10': '0.0279', 'HIT@20': '0.0757', 'NDCG@20': '0.0341'}
{'epoch': 154, 'rec_avg_loss': '0.1672'}
{'Epoch': 154, 'HIT@5': '0.0326', 'NDCG@5': '0.0218', 'HIT@10': '0.0516', 'NDCG@10': '0.0279', 'HIT@20': '0.0758', 'NDCG@20': '0.0339'}
{'epoch': 155, 'rec_avg_loss': '0.1704'}
{'Epoch': 155, 'HIT@5': '0.0335', 'NDCG@5': '0.0224', 'HIT@10': '0.0515', 'NDCG@10': '0.0282', 'HIT@20': '0.0771', 'NDCG@20': '0.0346'}
{'epoch': 156, 'rec_avg_loss': '0.1701'}
{'Epoch': 156, 'HIT@5': '0.0326', 'NDCG@5': '0.0219', 'HIT@10': '0.0504', 'NDCG@10': '0.0276', 'HIT@20': '0.0755', 'NDCG@20': '0.0339'}
{'epoch': 157, 'rec_avg_loss': '0.1659'}
{'Epoch': 157, 'HIT@5': '0.0336', 'NDCG@5': '0.0224', 'HIT@10': '0.0518', 'NDCG@10': '0.0283', 'HIT@20': '0.0772', 'NDCG@20': '0.0347'}
{'epoch': 158, 'rec_avg_loss': '0.1675'}
{'Epoch': 158, 'HIT@5': '0.0333', 'NDCG@5': '0.0226', 'HIT@10': '0.0516', 'NDCG@10': '0.0284', 'HIT@20': '0.0764', 'NDCG@20': '0.0347'}
{'epoch': 159, 'rec_avg_loss': '0.1696'}
{'Epoch': 159, 'HIT@5': '0.0330', 'NDCG@5': '0.0224', 'HIT@10': '0.0515', 'NDCG@10': '0.0283', 'HIT@20': '0.0765', 'NDCG@20': '0.0347'}
{'epoch': 160, 'rec_avg_loss': '0.1686'}
{'Epoch': 160, 'HIT@5': '0.0333', 'NDCG@5': '0.0225', 'HIT@10': '0.0512', 'NDCG@10': '0.0283', 'HIT@20': '0.0775', 'NDCG@20': '0.0349'}
{'epoch': 161, 'rec_avg_loss': '0.1696'}
{'Epoch': 161, 'HIT@5': '0.0342', 'NDCG@5': '0.0229', 'HIT@10': '0.0517', 'NDCG@10': '0.0286', 'HIT@20': '0.0769', 'NDCG@20': '0.0349'}
{'epoch': 162, 'rec_avg_loss': '0.1673'}
{'Epoch': 162, 'HIT@5': '0.0332', 'NDCG@5': '0.0223', 'HIT@10': '0.0513', 'NDCG@10': '0.0281', 'HIT@20': '0.0767', 'NDCG@20': '0.0345'}
{'epoch': 163, 'rec_avg_loss': '0.1701'}
{'Epoch': 163, 'HIT@5': '0.0331', 'NDCG@5': '0.0224', 'HIT@10': '0.0511', 'NDCG@10': '0.0282', 'HIT@20': '0.0772', 'NDCG@20': '0.0347'}
{'epoch': 164, 'rec_avg_loss': '0.1652'}
{'Epoch': 164, 'HIT@5': '0.0327', 'NDCG@5': '0.0222', 'HIT@10': '0.0500', 'NDCG@10': '0.0277', 'HIT@20': '0.0753', 'NDCG@20': '0.0341'}
{'epoch': 165, 'rec_avg_loss': '0.1677'}
{'Epoch': 165, 'HIT@5': '0.0329', 'NDCG@5': '0.0221', 'HIT@10': '0.0510', 'NDCG@10': '0.0279', 'HIT@20': '0.0762', 'NDCG@20': '0.0342'}
{'epoch': 166, 'rec_avg_loss': '0.1651'}
{'Epoch': 166, 'HIT@5': '0.0324', 'NDCG@5': '0.0217', 'HIT@10': '0.0499', 'NDCG@10': '0.0273', 'HIT@20': '0.0757', 'NDCG@20': '0.0338'}
{'epoch': 167, 'rec_avg_loss': '0.1680'}
{'Epoch': 167, 'HIT@5': '0.0335', 'NDCG@5': '0.0225', 'HIT@10': '0.0505', 'NDCG@10': '0.0280', 'HIT@20': '0.0763', 'NDCG@20': '0.0345'}
{'Epoch': 0, 'HIT@5': '0.0283', 'NDCG@5': '0.0186', 'HIT@10': '0.0449', 'NDCG@10': '0.0240', 'HIT@20': '0.0654', 'NDCG@20': '0.0292'}
CLBARec-Sports_and_Outdoors-1
{'Epoch': 0, 'HIT@5': '0.0283', 'NDCG@5': '0.0186', 'HIT@10': '0.0449', 'NDCG@10': '0.0240', 'HIT@20': '0.0654', 'NDCG@20': '0.0292'}
